Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
05/28/2021,1009,1009,1009,1009,2.5,+0.25%,0,0
05/27/2021,1006.5,1006.5,1006.5,1006.5,-4.25,-0.42%,0,588
05/26/2021,1010.75,1010.75,1010.75,1010.75,0,0.00%,0,588
05/25/2021,1010.75,1010.75,1010.75,1010.75,7,+0.70%,0,588
05/24/2021,1003.75,1003.75,1003.75,1003.75,-6.5,-0.64%,0,588
05/21/2021,1010.25,1010.25,1010.25,1010.25,-10,-0.98%,0,588
05/20/2021,1020.25,1020.25,1020.25,1020.25,-19.25,-1.85%,0,588
05/19/2021,1039.5,1039.5,1039.5,1039.5,-16.75,-1.59%,0,588
05/18/2021,1056.25,1056.25,1056.25,1056.25,27,+2.62%,0,588
05/17/2021,1029.25,1029.25,1029.25,1029.25,-6.75,-0.65%,0,588
05/14/2021,1036,1036,1036,1036,0,0.00%,0,588
05/13/2021,1036,1036,1036,1036,0,0.00%,0,588
05/12/2021,1036,1036,1036,1036,22,+2.17%,0,588
05/11/2021,1014,1014,1014,1014,-5.25,-0.52%,22,588
05/10/2021,1019.25,1019.25,1019.25,1019.25,-9.75,-0.95%,0,610
05/07/2021,1029,1029,1029,1029,37.75,+3.81%,0,610
05/06/2021,991.25,991.25,991.25,991.25,34.75,+3.63%,0,610
05/05/2021,956.5,956.5,956.5,956.5,-2.25,-0.23%,0,610
05/04/2021,958.75,958.75,958.75,958.75,-4,-0.42%,0,610
05/03/2021,962.75,962.75,962.75,962.75,51.75,+5.68%,0,610
04/30/2021,911,911,911,911,-30.25,-3.21%,50,610
04/29/2021,941.25,941.25,941.25,941.25,0,0.00%,0,660
04/28/2021,941.25,941.25,941.25,941.25,-31,-3.19%,0,660
04/27/2021,972.25,972.25,972.25,972.25,39.5,+4.23%,0,660
04/26/2021,932.75,932.75,932.75,932.75,-5,-0.53%,0,660
04/23/2021,937.75,937.75,937.75,937.75,-14.5,-1.52%,350,660
04/22/2021,952.25,952.25,952.25,952.25,25.25,+2.72%,0,696
04/21/2021,927,927,927,927,18,+1.98%,50,696
04/20/2021,909,909,909,909,23.75,+2.68%,40,746
04/19/2021,885.25,885.25,885.25,885.25,1.5,+0.17%,40,786
04/16/2021,883.75,883.75,883.75,883.75,31,+3.64%,0,826
04/15/2021,852.75,852.75,852.75,852.75,16.75,+2.00%,34,826
04/14/2021,836,836,836,836,4,+0.48%,40,860
04/13/2021,832,832,832,832,25.25,+3.13%,0,900
04/12/2021,806.75,806.75,806.75,806.75,-37,-4.39%,0,900
04/09/2021,843.75,843.75,843.75,843.75,-11.25,-1.32%,40,900
04/08/2021,855,855,855,855,-15.75,-1.81%,0,860
04/07/2021,870.75,870.75,870.75,870.75,10,+1.16%,0,860
04/06/2021,860.75,860.75,860.75,860.75,13.75,+1.62%,35,860
04/05/2021,847,847,847,847,1,+0.12%,0,895
04/01/2021,846,846,846,846,20.25,+2.45%,35,895
03/31/2021,825.75,825.75,825.75,825.75,10.75,+1.32%,35,895
03/30/2021,815,815,815,815,-39.5,-4.62%,0,970
03/29/2021,854.5,854.5,854.5,854.5,9.5,+1.12%,40,970
03/26/2021,845,845,845,845,-45.25,-5.08%,0,970
03/25/2021,890.25,890.25,890.25,890.25,-13.75,-1.52%,0,970
03/24/2021,904,904,904,904,-1.75,-0.19%,0,970
03/23/2021,905.75,905.75,905.75,905.75,16.25,+1.83%,40,970
03/22/2021,889.5,889.5,889.5,889.5,23.75,+2.74%,40,1010
03/19/2021,865.75,865.75,865.75,865.75,-17.5,-1.98%,40,970
03/18/2021,883.25,883.25,883.25,883.25,-30.5,-3.34%,40,930
03/17/2021,913.75,913.75,913.75,913.75,7.25,+0.80%,0,890
03/16/2021,906.5,906.5,906.5,906.5,-26.75,-2.87%,0,890
03/15/2021,933.25,933.25,933.25,933.25,11.75,+1.28%,0,890
03/12/2021,921.5,921.5,921.5,921.5,16.5,+1.82%,0,890
03/11/2021,905,905,905,905,19.25,+2.17%,0,890
03/10/2021,885.75,885.75,885.75,885.75,11.25,+1.29%,0,890
03/09/2021,874.5,874.5,874.5,874.5,10.5,+1.22%,0,890
03/08/2021,864,864,864,864,24.75,+2.95%,0,890
03/05/2021,839.25,839.25,839.25,839.25,-1.75,-0.21%,0,890
03/04/2021,841,841,841,841,6.75,+0.81%,0,890
03/03/2021,834.25,834.25,834.25,834.25,9.5,+1.15%,0,890
03/02/2021,824.75,824.75,824.75,824.75,-8,-0.96%,0,890
03/01/2021,832.75,832.75,832.75,832.75,-12.5,-1.48%,0,890
02/26/2021,845.25,845.25,845.25,845.25,-13.25,-1.54%,40,890
02/25/2021,858.5,858.5,858.5,858.5,31.75,+3.84%,0,850
02/24/2021,826.75,826.75,826.75,826.75,-0.25,-0.03%,0,850
02/23/2021,827,827,827,827,21.25,+2.64%,0,850
02/22/2021,805.75,805.75,805.75,805.75,4.75,+0.59%,0,850
02/19/2021,801,801,801,801,13.5,+1.71%,0,850
02/18/2021,787.5,787.5,787.5,787.5,-25,-3.08%,0,850
02/17/2021,812.5,812.5,812.5,812.5,21.5,+2.72%,0,850
02/16/2021,791,791,791,791,32.5,+4.28%,68,850
02/12/2021,758.5,758.5,758.5,758.5,0,0.00%,0,916
02/11/2021,758.5,758.5,758.5,758.5,-16.5,-2.13%,0,916
02/10/2021,775,775,775,775,4.25,+0.55%,0,916
02/09/2021,770.75,770.75,770.75,770.75,26,+3.49%,200,916
02/08/2021,744.75,744.75,744.75,744.75,5.75,+0.78%,0,716
02/05/2021,739,739,739,739,7.5,+1.03%,0,716
02/04/2021,731.5,731.5,731.5,731.5,1.75,+0.24%,0,716
02/03/2021,729.75,729.75,729.75,729.75,-30.25,-3.98%,0,716
02/02/2021,760,760,760,760,-17.75,-2.28%,0,716
02/01/2021,777.75,777.75,777.75,777.75,0,0.00%,0,716
01/29/2021,777.75,777.75,777.75,777.75,11.5,+1.50%,0,716
01/28/2021,766.25,766.25,766.25,766.25,0,0.00%,0,716
01/27/2021,766.25,766.25,766.25,766.25,22.75,+3.06%,0,716
01/26/2021,743.5,743.5,743.5,743.5,8.25,+1.12%,0,716
01/25/2021,735.25,735.25,735.25,735.25,-16.5,-2.19%,0,716
01/22/2021,751.75,751.75,751.75,751.75,-7.5,-0.99%,40,716
01/21/2021,759.25,759.25,759.25,759.25,10,+1.33%,20,716
01/20/2021,749.25,749.25,749.25,749.25,-6.25,-0.83%,0,716
01/19/2021,755.5,755.5,755.5,755.5,0.75,+0.10%,10,716
01/15/2021,754.75,754.75,754.75,754.75,-17,-2.20%,0,716
01/14/2021,771.75,771.75,771.75,771.75,-23,-2.89%,0,716
01/13/2021,794.75,794.75,794.75,794.75,4.5,+0.57%,0,716
01/12/2021,790.25,790.25,790.25,790.25,-25,-3.07%,0,716
01/11/2021,815.25,815.25,815.25,815.25,-9.25,-1.12%,0,716
01/08/2021,824.5,824.5,824.5,824.5,1.75,+0.21%,0,716
01/07/2021,822.75,822.75,822.75,822.75,-8,-0.96%,0,716
01/06/2021,830.75,830.75,830.75,830.75,26.5,+3.29%,0,716
01/05/2021,804.25,804.25,804.25,804.25,3.75,+0.47%,50,716
01/04/2021,800.5,800.5,800.5,800.5,28.25,+3.66%,0,716
12/31/2020,772.25,772.25,772.25,772.25,3,+0.39%,0,716
12/30/2020,769.25,769.25,769.25,769.25,11.25,+1.48%,0,716
12/29/2020,758,758,758,758,2,+0.26%,0,716
12/28/2020,756,756,756,756,-6.75,-0.88%,0,716
12/24/2020,762.75,762.75,762.75,762.75,1.5,+0.20%,0,716
12/23/2020,761.25,761.25,761.25,761.25,17.75,+2.39%,56,716
12/22/2020,743.5,743.5,743.5,743.5,-1,-0.13%,44,660
12/21/2020,744.5,744.5,744.5,744.5,-11.25,-1.49%,100,616
12/18/2020,755.75,755.75,755.75,755.75,11.25,+1.51%,0,516
12/17/2020,744.5,744.5,744.5,744.5,3.5,+0.47%,0,516
12/16/2020,741,741,741,741,11.25,+1.54%,40,516
12/15/2020,729.75,729.75,729.75,729.75,-1.75,-0.24%,0,556
12/14/2020,731.5,731.5,731.5,731.5,8.75,+1.21%,0,556
12/11/2020,722.75,722.75,722.75,722.75,1.5,+0.21%,0,556
12/10/2020,721.25,721.25,721.25,721.25,4.5,+0.63%,0,556
12/09/2020,716.75,716.75,716.75,716.75,1.5,+0.21%,0,556
12/08/2020,715.25,715.25,715.25,715.25,-6.75,-0.93%,66,556
12/07/2020,722,722,722,722,-8,-1.10%,0,490
12/04/2020,730,730,730,730,17.5,+2.46%,0,490
12/03/2020,712.5,712.5,712.5,712.5,-3.5,-0.49%,0,490
12/02/2020,716,716,716,716,-11.75,-1.61%,0,490
12/01/2020,727.75,727.75,727.75,727.75,1.75,+0.24%,0,490
11/30/2020,726,726,726,726,-2.25,-0.31%,0,490
11/27/2020,728.25,728.25,728.25,728.25,10.75,+1.50%,0,490
11/25/2020,717.5,717.5,717.5,717.5,15.75,+2.24%,0,490
11/24/2020,701.75,701.75,701.75,701.75,-21.75,-3.01%,0,490
11/23/2020,723.5,723.5,723.5,723.5,9.75,+1.37%,0,490
11/20/2020,713.75,713.75,713.75,713.75,-5,-0.70%,0,490
11/19/2020,718.75,718.75,718.75,718.75,-2.75,-0.38%,0,490
11/18/2020,721.5,721.5,721.5,721.5,28.75,+4.15%,0,490
11/17/2020,692.75,692.75,692.75,692.75,9.25,+1.35%,0,490
11/16/2020,683.5,683.5,683.5,683.5,4,+0.59%,0,490
11/13/2020,679.5,679.5,679.5,679.5,-6,-0.88%,0,490
11/12/2020,685.5,685.5,685.5,685.5,0.5,+0.07%,0,490
11/11/2020,685,685,685,685,13.25,+1.97%,0,490
11/10/2020,671.75,671.75,671.75,671.75,3.5,+0.52%,80,490
11/09/2020,668.25,668.25,668.25,668.25,8.25,+1.25%,0,410
11/06/2020,660,660,660,660,-2.5,-0.38%,0,410
11/05/2020,662.5,662.5,662.5,662.5,20.75,+3.23%,0,410
11/04/2020,641.75,641.75,641.75,641.75,2.5,+0.39%,0,410
11/03/2020,639.25,639.25,639.25,639.25,14.5,+2.32%,0,410
11/02/2020,624.75,624.75,624.75,624.75,-1.5,-0.24%,0,410
10/30/2020,626.25,626.25,626.25,626.25,-12.25,-1.92%,0,410
10/29/2020,638.5,638.5,638.5,638.5,0,0.00%,0,410
10/28/2020,638.5,638.5,638.5,638.5,3.5,+0.55%,0,410
10/27/2020,635,635,635,635,-4.75,-0.74%,0,410
10/26/2020,639.75,639.75,639.75,639.75,16.75,+2.69%,0,410
10/23/2020,623,623,623,623,-3.25,-0.52%,0,410
10/22/2020,626.25,626.25,626.25,626.25,4.75,+0.76%,0,410
10/21/2020,621.5,621.5,621.5,621.5,2,+0.32%,0,410
10/20/2020,619.5,619.5,619.5,619.5,13,+2.14%,0,410
10/19/2020,606.5,606.5,606.5,606.5,-15.5,-2.49%,0,410
10/16/2020,622,622,622,622,-2,-0.32%,0,410
10/15/2020,624,624,624,624,-16,-2.50%,0,410
10/14/2020,640,640,640,640,-10.25,-1.58%,0,410
10/13/2020,650.25,650.25,650.25,650.25,0,0.00%,0,410
10/12/2020,650.25,650.25,650.25,650.25,11,+1.72%,0,410
10/09/2020,639.25,639.25,639.25,639.25,0,0.00%,0,410
10/08/2020,639.25,639.25,639.25,639.25,2.25,+0.35%,0,410
10/07/2020,637,637,637,637,5.75,+0.91%,0,410
10/06/2020,631.25,631.25,631.25,631.25,19,+3.10%,0,410
10/05/2020,612.25,612.25,612.25,612.25,5.5,+0.91%,0,410
10/02/2020,606.75,606.75,606.75,606.75,-20,-3.19%,0,410
10/01/2020,626.75,626.75,626.75,626.75,16.5,+2.70%,0,410
09/30/2020,610.25,610.25,610.25,610.25,-7.75,-1.25%,0,410
09/29/2020,618,618,618,618,-10.75,-1.71%,0,410
09/28/2020,628.75,628.75,628.75,628.75,0.75,+0.12%,0,410
09/25/2020,628,628,628,628,8.25,+1.33%,0,410
09/24/2020,619.75,619.75,619.75,619.75,-19.25,-3.01%,20,410
09/23/2020,639,639,639,639,-19.25,-2.92%,40,390
09/22/2020,658.25,658.25,658.25,658.25,-7.5,-1.13%,260,350
09/21/2020,665.75,665.75,665.75,665.75,-12.5,-1.84%,0,120
09/18/2020,678.25,678.25,678.25,678.25,17.75,+2.69%,0,120
