Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
06/30/2020,554.5,554.5,554.5,554.5,-0.5,-0.09%,0,0
06/29/2020,555,555,555,555,-0.75,-0.13%,0,630
06/26/2020,555.75,555.75,555.75,555.75,-1,-0.18%,0,630
06/25/2020,556.75,556.75,556.75,556.75,-1.75,-0.31%,0,630
06/24/2020,558.5,558.5,558.5,558.5,-1.75,-0.31%,0,630
06/23/2020,560.25,560.25,560.25,560.25,1.5,+0.27%,0,630
06/22/2020,558.75,558.75,558.75,558.75,-2,-0.36%,0,630
06/19/2020,560.75,560.75,560.75,560.75,9.25,+1.68%,0,630
06/18/2020,551.5,551.5,551.5,551.5,0.5,+0.09%,0,630
06/17/2020,551,551,551,551,0,0.00%,0,630
06/16/2020,551,551,551,551,8.5,+1.57%,0,630
06/15/2020,542.5,542.5,542.5,542.5,-6.5,-1.18%,0,630
06/12/2020,549,549,549,549,-3.5,-0.63%,0,630
06/11/2020,552.5,552.5,552.5,552.5,4.5,+0.82%,0,630
06/10/2020,548,548,548,548,-8,-1.44%,0,630
06/09/2020,556,556,556,556,7.5,+1.37%,0,630
06/08/2020,548.5,548.5,548.5,548.5,0,0.00%,0,630
06/05/2020,548.5,548.5,548.5,548.5,5,+0.92%,0,630
06/04/2020,543.5,543.5,543.5,543.5,-15.5,-2.77%,10,630
06/03/2020,559,559,559,559,16,+2.95%,0,628
06/02/2020,543,543,543,543,15.25,+2.89%,0,628
06/01/2020,527.75,527.75,527.75,527.75,0.75,+0.14%,0,628
05/29/2020,527,527,527,527,7.25,+1.39%,0,628
05/28/2020,519.75,519.75,519.75,519.75,-4.75,-0.91%,0,628
05/27/2020,524.5,524.5,524.5,524.5,27.25,+5.48%,0,628
05/26/2020,497.25,497.25,497.25,497.25,0,0.00%,0,628
05/22/2020,497.25,497.25,497.25,497.25,-9.75,-1.92%,43,628
05/21/2020,507,507,507,507,10.75,+2.17%,0,628
05/20/2020,496.25,496.25,496.25,496.25,-6.75,-1.34%,0,628
05/19/2020,503,503,503,503,11.5,+2.34%,228,628
05/18/2020,491.5,491.5,491.5,491.5,11,+2.29%,0,628
05/15/2020,480.5,480.5,480.5,480.5,14.25,+3.06%,105,628
05/14/2020,466.25,466.25,466.25,466.25,-4.5,-0.96%,0,628
05/13/2020,470.75,470.75,470.75,470.75,7.75,+1.67%,0,628
05/12/2020,463,463,463,463,-4.5,-0.96%,0,628
05/11/2020,467.5,467.5,467.5,467.5,0,0.00%,0,628
05/08/2020,467.5,467.5,467.5,467.5,15.5,+3.43%,0,628
05/07/2020,452,452,452,452,0,0.00%,0,628
05/06/2020,452,452,452,452,-6,-1.31%,0,628
05/05/2020,458,458,458,458,0,0.00%,0,628
05/04/2020,458,458,458,458,-23,-4.78%,58,628
05/01/2020,481,481,481,481,0,0.00%,0,628
04/30/2020,481,481,481,481,13.25,+2.83%,0,628
04/29/2020,467.75,467.75,467.75,467.75,3.75,+0.81%,100,628
04/28/2020,464,464,464,464,-0.5,-0.11%,100,628
04/27/2020,464.5,464.5,464.5,464.5,-11.25,-2.36%,0,722
04/24/2020,475.75,475.75,475.75,475.75,-9.75,-2.01%,0,722
04/23/2020,485.5,485.5,485.5,485.5,13,+2.75%,0,722
04/22/2020,472.5,472.5,472.5,472.5,8.25,+1.78%,0,722
04/21/2020,464.25,464.25,464.25,464.25,-38.5,-7.66%,0,722
04/20/2020,502.75,502.75,502.75,502.75,-2.25,-0.45%,60,722
04/17/2020,505,505,505,505,6.25,+1.25%,0,702
