Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
02/28/2019,551,551,551,551,-0.25,-0.05%,0,0
02/27/2019,551.25,551.25,551.25,551.25,-1.5,-0.27%,0,160
02/26/2019,552.75,552.75,552.75,552.75,-1.25,-0.23%,0,160
02/25/2019,554,554,554,554,-2.25,-0.40%,0,160
02/22/2019,556.25,556.25,556.25,556.25,-1,-0.18%,0,160
02/21/2019,557.25,557.25,557.25,557.25,1.75,+0.32%,0,160
02/20/2019,555.5,555.5,555.5,555.5,-0.5,-0.09%,0,160
02/19/2019,556,556,556,556,1,+0.18%,0,160
02/15/2019,555,555,555,555,-4.75,-0.85%,0,160
02/14/2019,559.75,559.75,559.75,559.75,4.25,+0.77%,0,160
02/13/2019,555.5,555.5,555.5,555.5,0.5,+0.09%,0,160
02/12/2019,555,555,555,555,-3.25,-0.58%,0,160
02/11/2019,558.25,558.25,558.25,558.25,-4.5,-0.80%,0,160
02/08/2019,562.75,562.75,562.75,562.75,-4.25,-0.75%,0,160
02/07/2019,567,567,567,567,3.25,+0.58%,0,160
02/06/2019,563.75,563.75,563.75,563.75,0,0.00%,0,160
02/05/2019,563.75,563.75,563.75,563.75,0,0.00%,0,160
02/04/2019,563.75,563.75,563.75,563.75,1,+0.18%,0,160
02/01/2019,562.75,562.75,562.75,562.75,0,0.00%,0,160
01/31/2019,562.75,562.75,562.75,562.75,2.25,+0.40%,0,160
01/30/2019,560.5,560.5,560.5,560.5,2,+0.36%,20,160
01/29/2019,558.5,558.5,558.5,558.5,-6.75,-1.19%,0,180
01/28/2019,565.25,565.25,565.25,565.25,10,+1.80%,0,180
01/25/2019,555.25,555.25,555.25,555.25,0.25,+0.05%,0,180
01/24/2019,555,555,555,555,3.25,+0.59%,0,180
01/23/2019,551.75,551.75,551.75,551.75,5,+0.91%,0,180
01/22/2019,546.75,546.75,546.75,546.75,5.75,+1.06%,240,180
01/18/2019,541,541,541,541,6.5,+1.22%,20,280
01/17/2019,534.5,534.5,534.5,534.5,5,+0.94%,40,280
01/16/2019,529.5,529.5,529.5,529.5,-2.75,-0.52%,0,280
01/15/2019,532.25,532.25,532.25,532.25,0.5,+0.09%,0,280
01/14/2019,531.75,531.75,531.75,531.75,-8.5,-1.57%,0,280
01/11/2019,540.25,540.25,540.25,540.25,1,+0.19%,0,280
01/10/2019,539.25,539.25,539.25,539.25,-1.5,-0.28%,0,280
01/09/2019,540.75,540.75,540.75,540.75,3.5,+0.65%,0,280
01/08/2019,537.25,537.25,537.25,537.25,3.25,+0.61%,0,280
01/07/2019,534,534,534,534,-0.5,-0.09%,0,280
01/04/2019,534.5,534.5,534.5,534.5,5.25,+0.99%,200,280
01/03/2019,529.25,529.25,529.25,529.25,-3.25,-0.61%,0,120
01/02/2019,532.5,532.5,532.5,532.5,8.5,+1.62%,0,120
12/31/2018,524,524,524,524,4.25,+0.82%,0,120
12/28/2018,519.75,519.75,519.75,519.75,4.25,+0.82%,0,120
12/27/2018,515.5,515.5,515.5,515.5,2.5,+0.49%,0,120
12/26/2018,513,513,513,513,-6,-1.16%,0,120
12/24/2018,519,519,519,519,-6.5,-1.24%,0,120
12/21/2018,525.5,525.5,525.5,525.5,-5.75,-1.08%,0,120
12/20/2018,531.25,531.25,531.25,531.25,-1,-0.19%,0,120
12/19/2018,532.25,532.25,532.25,532.25,7.25,+1.38%,0,120
12/18/2018,525,525,525,525,5.25,+1.01%,40,120
12/17/2018,519.75,519.75,519.75,519.75,-5.75,-1.09%,0,80
12/14/2018,525.5,525.5,525.5,525.5,1.25,+0.24%,0,80
12/13/2018,524.25,524.25,524.25,524.25,1,+0.19%,0,80
12/12/2018,523.25,523.25,523.25,523.25,4.25,+0.82%,0,80
12/11/2018,519,519,519,519,-6.5,-1.24%,0,80
12/10/2018,525.5,525.5,525.5,525.5,9.25,+1.79%,0,80
12/07/2018,516.25,516.25,516.25,516.25,-2.5,-0.48%,0,80
12/06/2018,518.75,518.75,518.75,518.75,-1.25,-0.24%,0,80
12/05/2018,520,520,520,520,-5.25,-1.00%,0,80
12/04/2018,525.25,525.25,525.25,525.25,9.25,+1.79%,0,80
12/03/2018,516,516,516,516,-0.75,-0.15%,0,80
11/30/2018,516.75,516.75,516.75,516.75,3,+0.58%,0,80
11/29/2018,513.75,513.75,513.75,513.75,2.25,+0.44%,0,80
11/28/2018,511.5,511.5,511.5,511.5,10.25,+2.04%,0,80
11/27/2018,501.25,501.25,501.25,501.25,-0.25,-0.05%,0,80
11/26/2018,501.5,501.5,501.5,501.5,-14.75,-2.86%,0,80
11/23/2018,516.25,516.25,516.25,516.25,8.75,+1.72%,0,80
11/21/2018,507.5,507.5,507.5,507.5,3,+0.59%,0,80
11/20/2018,504.5,504.5,504.5,504.5,0,0.00%,0,80
11/19/2018,504.5,504.5,504.5,504.5,4.25,+0.85%,0,80
11/16/2018,500.25,500.25,500.25,500.25,-15,-2.91%,0,80
11/15/2018,515.25,515.25,515.25,515.25,2.5,+0.49%,0,80
11/14/2018,512.75,512.75,512.75,512.75,-11,-2.10%,0,80
11/13/2018,523.75,523.75,523.75,523.75,-5.75,-1.09%,0,80
11/12/2018,529.5,529.5,529.5,529.5,-4.25,-0.80%,0,80
11/09/2018,533.75,533.75,533.75,533.75,-10.5,-1.93%,0,80
11/08/2018,544.25,544.25,544.25,544.25,-3.5,-0.64%,0,80
11/07/2018,547.75,547.75,547.75,547.75,-0.75,-0.14%,0,80
11/06/2018,548.5,548.5,548.5,548.5,0,0.00%,0,80
11/05/2018,548.5,548.5,548.5,548.5,-6.25,-1.13%,0,80
11/02/2018,554.75,554.75,554.75,554.75,5,+0.91%,0,80
11/01/2018,549.75,549.75,549.75,549.75,0.75,+0.14%,0,80
10/31/2018,549,549,549,549,-2.25,-0.41%,0,80
10/30/2018,551.25,551.25,551.25,551.25,-5.75,-1.03%,0,80
10/29/2018,557,557,557,557,10,+1.83%,0,80
10/26/2018,547,547,547,547,-6.25,-1.13%,0,80
10/25/2018,553.25,553.25,553.25,553.25,-6,-1.07%,0,80
10/24/2018,559.25,559.25,559.25,559.25,-5.25,-0.93%,0,80
10/23/2018,564.5,564.5,564.5,564.5,-5.5,-0.96%,0,80
10/22/2018,570,570,570,570,2.75,+0.48%,0,80
10/19/2018,567.25,567.25,567.25,567.25,-4,-0.70%,0,80
10/18/2018,571.25,571.25,571.25,571.25,-4.75,-0.82%,0,80
10/17/2018,576,576,576,576,3.75,+0.66%,0,80
10/16/2018,572.25,572.25,572.25,572.25,1.75,+0.31%,0,80
10/15/2018,570.5,570.5,570.5,570.5,-1.25,-0.22%,0,80
10/12/2018,571.75,571.75,571.75,571.75,3,+0.53%,0,80
10/11/2018,568.75,568.75,568.75,568.75,-9.5,-1.64%,0,80
10/10/2018,578.25,578.25,578.25,578.25,3.5,+0.61%,0,80
10/09/2018,574.75,574.75,574.75,574.75,3.75,+0.66%,0,80
10/08/2018,571,571,571,571,-12.25,-2.10%,0,80
10/05/2018,583.25,583.25,583.25,583.25,0.75,+0.13%,0,80
10/04/2018,582.5,582.5,582.5,582.5,5.75,+1.00%,0,80
10/03/2018,576.75,576.75,576.75,576.75,3,+0.52%,0,80
10/02/2018,573.75,573.75,573.75,573.75,3.5,+0.61%,0,80
10/01/2018,570.25,570.25,570.25,570.25,4.75,+0.84%,0,80
09/28/2018,565.5,565.5,565.5,565.5,7.25,+1.30%,0,80
09/27/2018,558.25,558.25,558.25,558.25,-1.75,-0.31%,0,80
09/26/2018,560,560,560,560,0.75,+0.13%,0,80
09/25/2018,559.25,559.25,559.25,559.25,4.5,+0.81%,0,80
09/24/2018,554.75,554.75,554.75,554.75,5.25,+0.96%,0,80
09/21/2018,549.5,549.5,549.5,549.5,1.25,+0.23%,0,80
09/20/2018,548.25,548.25,548.25,548.25,-3,-0.54%,0,80
09/19/2018,551.25,551.25,551.25,551.25,-9.25,-1.65%,0,80
09/18/2018,560.5,560.5,560.5,560.5,-10.25,-1.80%,0,80
09/17/2018,570.75,570.75,570.75,570.75,0,0.00%,0,80
09/14/2018,570.75,570.75,570.75,570.75,-1.25,-0.22%,0,80
09/13/2018,572,572,572,572,2.5,+0.44%,0,80
09/12/2018,569.5,569.5,569.5,569.5,-8.75,-1.51%,0,80
09/11/2018,578.25,578.25,578.25,578.25,0,0.00%,0,80
09/10/2018,578.25,578.25,578.25,578.25,0,0.00%,0,80
09/07/2018,578.25,578.25,578.25,578.25,-2.5,-0.43%,0,80
09/06/2018,580.75,580.75,580.75,580.75,0.25,+0.04%,0,80
09/05/2018,580.5,580.5,580.5,580.5,-4.25,-0.73%,0,80
09/04/2018,584.75,584.75,584.75,584.75,7.75,+1.34%,0,80
08/31/2018,577,577,577,577,0,0.00%,0,80
08/30/2018,577,577,577,577,3.75,+0.65%,0,80
08/29/2018,573.25,573.25,573.25,573.25,-3,-0.52%,0,80
08/28/2018,576.25,576.25,576.25,576.25,7.75,+1.36%,0,80
08/27/2018,568.5,568.5,568.5,568.5,-3.75,-0.66%,0,80
08/24/2018,572.25,572.25,572.25,572.25,0.5,+0.09%,0,80
08/23/2018,571.75,571.75,571.75,571.75,-6,-1.04%,0,80
08/22/2018,577.75,577.75,577.75,577.75,0,0.00%,0,80
08/21/2018,577.75,577.75,577.75,577.75,-2.5,-0.43%,0,80
08/20/2018,580.25,580.25,580.25,580.25,4.25,+0.74%,0,80
08/17/2018,576,576,576,576,2.75,+0.48%,0,80
08/16/2018,573.25,573.25,573.25,573.25,-0.5,-0.09%,0,80
08/15/2018,573.75,573.75,573.75,573.75,-6.5,-1.12%,0,80
08/14/2018,580.25,580.25,580.25,580.25,0.5,+0.09%,0,80
08/13/2018,579.75,579.75,579.75,579.75,-11,-1.86%,0,80
08/10/2018,590.75,590.75,590.75,590.75,1,+0.17%,0,80
08/09/2018,589.75,589.75,589.75,589.75,-4.75,-0.80%,0,80
08/08/2018,594.5,594.5,594.5,594.5,2.5,+0.42%,0,80
08/07/2018,592,592,592,592,4.75,+0.81%,0,80
08/06/2018,587.25,587.25,587.25,587.25,2.25,+0.38%,0,80
08/03/2018,585,585,585,585,0.25,+0.04%,0,80
08/02/2018,584.75,584.75,584.75,584.75,-2.75,-0.47%,0,80
08/01/2018,587.5,587.5,587.5,587.5,3.5,+0.60%,0,80
07/31/2018,584,584,584,584,0.25,+0.04%,0,80
07/30/2018,583.75,583.75,583.75,583.75,2,+0.34%,0,80
07/27/2018,581.75,581.75,581.75,581.75,0.25,+0.04%,0,80
07/26/2018,581.5,581.5,581.5,581.5,10.75,+1.88%,0,80
07/25/2018,570.75,570.75,570.75,570.75,4.25,+0.75%,0,80
07/24/2018,566.5,566.5,566.5,566.5,-3,-0.53%,0,80
07/23/2018,569.5,569.5,569.5,569.5,-3.5,-0.61%,0,80
07/20/2018,573,573,573,573,-2.25,-0.39%,40,80
07/19/2018,575.25,575.25,575.25,575.25,-5,-0.86%,0,40
07/18/2018,580.25,580.25,580.25,580.25,9.75,+1.71%,0,40
07/17/2018,570.5,570.5,570.5,570.5,-1.25,-0.22%,0,40
07/16/2018,571.75,571.75,571.75,571.75,4.5,+0.79%,0,40
07/13/2018,567.25,567.25,567.25,567.25,-11.25,-1.94%,0,40
07/12/2018,578.5,578.5,578.5,578.5,-3,-0.52%,0,40
07/11/2018,581.5,581.5,581.5,581.5,-13.75,-2.31%,0,40
07/10/2018,595.25,595.25,595.25,595.25,1,+0.17%,0,40
07/09/2018,594.25,594.25,594.25,594.25,1.25,+0.21%,0,40
07/06/2018,593,593,593,593,-1.75,-0.29%,0,40
07/05/2018,594.75,594.75,594.75,594.75,-6.75,-1.12%,40,40
07/03/2018,601.5,601.5,601.5,601.5,-2.5,-0.41%,0,0
07/02/2018,604,604,604,604,-1.75,-0.29%,0,0
06/29/2018,605.75,605.75,605.75,605.75,-3,-0.49%,0,0
06/28/2018,608.75,608.75,608.75,608.75,2,+0.33%,0,0
06/27/2018,606.75,606.75,606.75,606.75,5.5,+0.91%,0,0
06/26/2018,601.25,601.25,601.25,601.25,-6.5,-1.07%,0,0
06/25/2018,607.75,607.75,607.75,607.75,1.25,+0.21%,0,0
06/22/2018,606.5,606.5,606.5,606.5,6,+1.00%,0,0
06/21/2018,600.5,600.5,600.5,600.5,-1.25,-0.21%,0,0
06/20/2018,601.75,601.75,601.75,601.75,4.5,+0.75%,0,0
06/19/2018,597.25,597.25,597.25,597.25,-15.5,-2.53%,0,0
06/18/2018,612.75,612.75,612.75,612.75,-4.5,-0.73%,0,0
06/15/2018,617.25,617.25,617.25,617.25,0,0.00%,0,0
06/14/2018,617.25,617.25,617.25,617.25,2.75,+0.45%,0,0
06/13/2018,614.5,614.5,614.5,614.5,1.5,+0.24%,0,0
06/12/2018,613,613,613,613,-3,-0.49%,0,0
06/11/2018,616,616,616,616,-2.25,-0.36%,0,0
06/08/2018,618.25,618.25,618.25,618.25,-5,-0.80%,0,0
06/07/2018,623.25,623.25,623.25,623.25,1.75,+0.28%,0,0
06/06/2018,621.5,621.5,621.5,621.5,-4,-0.64%,0,0
06/05/2018,625.5,625.5,625.5,625.5,-3.25,-0.52%,0,0
06/04/2018,628.75,628.75,628.75,628.75,-2.5,-0.40%,0,0
06/01/2018,631.25,631.25,631.25,631.25,2.25,+0.36%,0,0
05/31/2018,629,629,629,629,-3.25,-0.51%,0,0
05/30/2018,632.25,632.25,632.25,632.25,-5.75,-0.90%,0,0
05/29/2018,638,638,638,638,0,0.00%,0,0
05/25/2018,638,638,638,638,-7,-1.09%,0,0
05/24/2018,645,645,645,645,5,+0.78%,0,0
05/23/2018,640,640,640,640,-3.25,-0.51%,0,0
05/22/2018,643.25,643.25,643.25,643.25,6.5,+1.02%,0,0
05/21/2018,636.75,636.75,636.75,636.75,-4.5,-0.70%,0,0
05/18/2018,641.25,641.25,641.25,641.25,4.5,+0.71%,0,0
05/17/2018,636.75,636.75,636.75,636.75,6.5,+1.03%,0,0
05/16/2018,630.25,630.25,630.25,630.25,-2.5,-0.40%,0,0
05/15/2018,632.75,632.75,632.75,632.75,1.25,+0.20%,0,0
05/14/2018,631.5,631.5,631.5,631.5,9,+1.45%,0,0
05/11/2018,622.5,622.5,622.5,622.5,0,0.00%,0,0
05/10/2018,622.5,622.5,622.5,622.5,0,0.00%,0,0
05/09/2018,622.5,622.5,622.5,622.5,0,0.00%,0,0
05/08/2018,622.5,622.5,622.5,622.5,2.5,+0.40%,0,0
05/07/2018,620,620,620,620,7.5,+1.22%,0,0
05/04/2018,612.5,612.5,612.5,612.5,1,+0.16%,0,0
05/03/2018,611.5,611.5,611.5,611.5,-5,-0.81%,0,0
05/02/2018,616.5,616.5,616.5,616.5,-0.25,-0.04%,0,0
05/01/2018,616.75,616.75,616.75,616.75,0,0.00%,0,0
04/30/2018,616.75,616.75,616.75,616.75,-4.5,-0.72%,0,0
04/27/2018,621.25,621.25,621.25,621.25,-3,-0.48%,0,0
04/26/2018,624.25,624.25,624.25,624.25,-3.5,-0.56%,0,0
04/25/2018,627.75,627.75,627.75,627.75,-1.75,-0.28%,0,0
04/24/2018,629.5,629.5,629.5,629.5,-4.5,-0.71%,0,0
04/23/2018,634,634,634,634,-1.5,-0.24%,0,0
04/20/2018,635.5,635.5,635.5,635.5,2.75,+0.43%,0,0
04/19/2018,632.75,632.75,632.75,632.75,-1.75,-0.28%,0,0
04/18/2018,634.5,634.5,634.5,634.5,0.5,+0.08%,0,0
04/17/2018,634,634,634,634,12,+1.93%,0,0
04/16/2018,622,622,622,622,-7.5,-1.19%,0,0
04/13/2018,629.5,629.5,629.5,629.5,-3.75,-0.59%,0,0
04/12/2018,633.25,633.25,633.25,633.25,-2.25,-0.35%,0,0
04/11/2018,635.5,635.5,635.5,635.5,0.5,+0.08%,0,0
04/10/2018,635,635,635,635,-5.5,-0.86%,0,0
04/09/2018,640.5,640.5,640.5,640.5,-5,-0.77%,0,0
04/06/2018,645.5,645.5,645.5,645.5,7.25,+1.14%,0,0
04/05/2018,638.25,638.25,638.25,638.25,4.5,+0.71%,0,0
04/04/2018,633.75,633.75,633.75,633.75,1.75,+0.28%,0,0
04/03/2018,632,632,632,632,-5,-0.78%,0,0
04/02/2018,637,637,637,637,10.5,+1.68%,0,0
03/29/2018,626.5,626.5,626.5,626.5,-6.25,-0.99%,0,0
03/28/2018,632.75,632.75,632.75,632.75,2.75,+0.44%,0,0
03/27/2018,630,630,630,630,4,+0.64%,0,0
03/26/2018,626,626,626,626,3,+0.48%,0,0
03/23/2018,623,623,623,623,-2.75,-0.44%,0,0
03/22/2018,625.75,625.75,625.75,625.75,5.25,+0.85%,0,0
03/21/2018,620.5,620.5,620.5,620.5,3.75,+0.61%,0,0
03/20/2018,616.75,616.75,616.75,616.75,1.5,+0.24%,0,0
03/19/2018,615.25,615.25,615.25,615.25,-0.5,-0.08%,0,0
03/16/2018,615.75,615.75,615.75,615.75,-3.5,-0.57%,0,0
03/15/2018,619.25,619.25,619.25,619.25,-2.5,-0.40%,0,0
03/14/2018,621.75,621.75,621.75,621.75,6.75,+1.10%,0,0
03/13/2018,615,615,615,615,7.5,+1.23%,0,0
03/12/2018,607.5,607.5,607.5,607.5,1.5,+0.25%,0,0
03/09/2018,606,606,606,606,-9,-1.46%,0,0
03/08/2018,615,615,615,615,-7.25,-1.17%,0,0
03/07/2018,622.25,622.25,622.25,622.25,-5.75,-0.92%,0,0
03/06/2018,628,628,628,628,6.25,+1.01%,0,0
03/05/2018,621.75,621.75,621.75,621.75,-2.75,-0.44%,0,0
03/02/2018,624.5,624.5,624.5,624.5,-16,-2.50%,0,0
03/01/2018,640.5,640.5,640.5,640.5,-2.25,-0.35%,0,0
02/28/2018,642.75,642.75,642.75,642.75,3.25,+0.51%,0,0
02/27/2018,639.5,639.5,639.5,639.5,-0.75,-0.12%,0,0
02/26/2018,640.25,640.25,640.25,640.25,4.25,+0.67%,0,0
02/23/2018,636,636,636,636,8,+1.27%,0,0
