Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
02/28/2020,630,630,630,630,-1.75,-0.28%,0,0
02/27/2020,631.75,631.75,631.75,631.75,1.25,+0.20%,0,253
02/26/2020,630.5,630.5,630.5,630.5,-1,-0.16%,0,253
02/25/2020,631.5,631.5,631.5,631.5,-5,-0.79%,0,253
02/24/2020,636.5,636.5,636.5,636.5,-5.75,-0.90%,0,253
02/21/2020,642.25,642.25,642.25,642.25,1.75,+0.27%,0,253
02/20/2020,640.5,640.5,640.5,640.5,2.5,+0.39%,0,253
02/19/2020,638,638,638,638,-9.25,-1.43%,0,253
02/18/2020,647.25,647.25,647.25,647.25,-3,-0.46%,0,253
02/14/2020,650.25,650.25,650.25,650.25,4.5,+0.70%,0,253
02/13/2020,645.75,645.75,645.75,645.75,-13,-1.97%,0,253
02/12/2020,658.75,658.75,658.75,658.75,3,+0.46%,0,253
02/11/2020,655.75,655.75,655.75,655.75,-9,-1.35%,0,253
02/10/2020,664.75,664.75,664.75,664.75,-12.5,-1.85%,0,253
02/07/2020,677.25,677.25,677.25,677.25,-8.75,-1.28%,0,253
02/06/2020,686,686,686,686,9.25,+1.37%,26,253
02/05/2020,676.75,676.75,676.75,676.75,29.25,+4.52%,30,259
02/04/2020,647.5,647.5,647.5,647.5,12,+1.89%,0,289
02/03/2020,635.5,635.5,635.5,635.5,0.5,+0.08%,0,289
01/31/2020,635,635,635,635,-14,-2.16%,10,289
01/30/2020,649,649,649,649,-18.25,-2.74%,0,299
01/29/2020,667.25,667.25,667.25,667.25,36.75,+5.83%,276,299
01/28/2020,630.5,630.5,630.5,630.5,-73.25,-10.41%,45,382
01/27/2020,703.75,703.75,703.75,703.75,0,0.00%,0,427
01/24/2020,703.75,703.75,703.75,703.75,-14.5,-2.02%,0,427
01/23/2020,718.25,718.25,718.25,718.25,-12.5,-1.71%,0,427
01/22/2020,730.75,730.75,730.75,730.75,21.75,+3.07%,0,427
01/21/2020,709,709,709,709,10,+1.43%,0,427
01/17/2020,699,699,699,699,-11,-1.55%,80,427
01/16/2020,710,710,710,710,-4.25,-0.60%,240,487
01/15/2020,714.25,714.25,714.25,714.25,-16,-2.19%,0,587
01/14/2020,730.25,730.25,730.25,730.25,-22.75,-3.02%,30,587
01/13/2020,753,753,753,753,-10.25,-1.34%,0,557
01/10/2020,763.25,763.25,763.25,763.25,9.5,+1.26%,30,557
01/09/2020,753.75,753.75,753.75,753.75,14.25,+1.93%,0,587
01/08/2020,739.5,739.5,739.5,739.5,-1.75,-0.24%,0,587
01/07/2020,741.25,741.25,741.25,741.25,0.25,+0.03%,0,587
01/06/2020,741,741,741,741,-14.5,-1.92%,0,587
01/03/2020,755.5,755.5,755.5,755.5,-5.25,-0.69%,0,587
01/02/2020,760.75,760.75,760.75,760.75,17.75,+2.39%,100,587
12/31/2019,743,743,743,743,-13,-1.72%,0,527
12/30/2019,756,756,756,756,14,+1.89%,0,527
12/27/2019,742,742,742,742,19.25,+2.66%,0,527
12/26/2019,722.75,722.75,722.75,722.75,19.25,+2.74%,0,527
12/24/2019,703.5,703.5,703.5,703.5,6.5,+0.93%,0,527
12/23/2019,697,697,697,697,-1.75,-0.25%,0,527
12/20/2019,698.75,698.75,698.75,698.75,8.75,+1.27%,0,527
12/19/2019,690,690,690,690,3,+0.44%,0,527
12/18/2019,687,687,687,687,-4,-0.58%,0,527
12/17/2019,691,691,691,691,6.25,+0.91%,0,527
12/16/2019,684.75,684.75,684.75,684.75,7.5,+1.11%,31,527
12/13/2019,677.25,677.25,677.25,677.25,-0.75,-0.11%,0,558
12/12/2019,678,678,678,678,1.75,+0.26%,0,558
12/11/2019,676.25,676.25,676.25,676.25,-7.25,-1.06%,0,558
12/10/2019,683.5,683.5,683.5,683.5,-0.5,-0.07%,0,558
12/09/2019,684,684,684,684,6.25,+0.92%,0,558
12/06/2019,677.75,677.75,677.75,677.75,11.75,+1.76%,0,558
12/05/2019,666,666,666,666,13,+1.99%,0,558
12/04/2019,653,653,653,653,3.25,+0.50%,40,558
12/03/2019,649.75,649.75,649.75,649.75,2.25,+0.35%,20,518
12/02/2019,647.5,647.5,647.5,647.5,-5.75,-0.88%,10,498
11/29/2019,653.25,653.25,653.25,653.25,9.25,+1.44%,0,488
11/27/2019,644,644,644,644,2.25,+0.35%,0,488
11/26/2019,641.75,641.75,641.75,641.75,-15.25,-2.32%,0,488
11/25/2019,657,657,657,657,-4.25,-0.64%,0,488
11/22/2019,661.25,661.25,661.25,661.25,15.75,+2.44%,0,488
11/21/2019,645.5,645.5,645.5,645.5,-4.25,-0.65%,0,488
11/20/2019,649.75,649.75,649.75,649.75,14.5,+2.28%,44,488
11/19/2019,635.25,635.25,635.25,635.25,6.75,+1.07%,0,444
11/18/2019,628.5,628.5,628.5,628.5,0,0.00%,44,444
11/15/2019,628.5,628.5,628.5,628.5,-3.25,-0.51%,168,488
11/14/2019,631.75,631.75,631.75,631.75,2.25,+0.36%,0,320
11/13/2019,629.5,629.5,629.5,629.5,-5.5,-0.87%,80,320
