Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
03/31/2020,546,546,546,546,-0.25,-0.05%,0,0
03/30/2020,546.25,546.25,546.25,546.25,0.5,+0.09%,0,430
03/27/2020,545.75,545.75,545.75,545.75,2.25,+0.41%,0,430
03/26/2020,543.5,543.5,543.5,543.5,-0.25,-0.05%,0,430
03/25/2020,543.75,543.75,543.75,543.75,2.25,+0.42%,0,430
03/24/2020,541.5,541.5,541.5,541.5,4,+0.74%,0,430
03/23/2020,537.5,537.5,537.5,537.5,-1,-0.19%,0,430
03/20/2020,538.5,538.5,538.5,538.5,5.5,+1.03%,0,430
03/19/2020,533,533,533,533,-4,-0.74%,0,430
03/18/2020,537,537,537,537,-3,-0.56%,0,430
03/17/2020,540,540,540,540,2.25,+0.42%,0,430
03/16/2020,537.75,537.75,537.75,537.75,-9,-1.65%,0,430
03/13/2020,546.75,546.75,546.75,546.75,-1.75,-0.32%,0,430
03/12/2020,548.5,548.5,548.5,548.5,-13.25,-2.36%,0,430
03/11/2020,561.75,561.75,561.75,561.75,1.75,+0.31%,0,430
03/10/2020,560,560,560,560,-0.5,-0.09%,0,430
03/09/2020,560.5,560.5,560.5,560.5,-24.25,-4.15%,0,430
03/06/2020,584.75,584.75,584.75,584.75,-16,-2.66%,120,430
03/05/2020,600.75,600.75,600.75,600.75,8,+1.35%,0,550
03/04/2020,592.75,592.75,592.75,592.75,27.75,+4.91%,0,550
03/03/2020,565,565,565,565,13.25,+2.40%,45,550
03/02/2020,551.75,551.75,551.75,551.75,2,+0.36%,0,550
02/28/2020,549.75,549.75,549.75,549.75,-31.5,-5.42%,236,550
02/27/2020,581.25,581.25,581.25,581.25,11.5,+2.02%,0,677
02/26/2020,569.75,569.75,569.75,569.75,-3,-0.52%,0,677
02/25/2020,572.75,572.75,572.75,572.75,-28.5,-4.74%,0,677
02/24/2020,601.25,601.25,601.25,601.25,-22.75,-3.65%,0,677
02/21/2020,624,624,624,624,5.25,+0.85%,0,677
02/20/2020,618.75,618.75,618.75,618.75,7,+1.14%,0,677
02/19/2020,611.75,611.75,611.75,611.75,-21.75,-3.43%,0,677
02/18/2020,633.5,633.5,633.5,633.5,0.75,+0.12%,0,677
02/14/2020,632.75,632.75,632.75,632.75,4.75,+0.76%,0,677
02/13/2020,628,628,628,628,-21,-3.24%,0,677
02/12/2020,649,649,649,649,6.25,+0.97%,0,677
02/11/2020,642.75,642.75,642.75,642.75,-12.5,-1.91%,0,677
02/10/2020,655.25,655.25,655.25,655.25,-13.25,-1.98%,0,677
02/07/2020,668.5,668.5,668.5,668.5,-14.75,-2.16%,0,677
02/06/2020,683.25,683.25,683.25,683.25,10.75,+1.60%,0,677
02/05/2020,672.5,672.5,672.5,672.5,32.25,+5.04%,0,677
02/04/2020,640.25,640.25,640.25,640.25,14.5,+2.32%,0,677
02/03/2020,625.75,625.75,625.75,625.75,-1.5,-0.24%,0,677
01/31/2020,627.25,627.25,627.25,627.25,-14,-2.18%,0,677
01/30/2020,641.25,641.25,641.25,641.25,-15.75,-2.40%,0,677
01/29/2020,657,657,657,657,37.5,+6.05%,48,677
01/28/2020,619.5,619.5,619.5,619.5,-72,-10.41%,79,677
01/27/2020,691.5,691.5,691.5,691.5,0,0.00%,0,677
01/24/2020,691.5,691.5,691.5,691.5,-14.5,-2.05%,0,677
