Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
04/30/2020,504.75,504.75,504.75,504.75,0.75,+0.15%,0,0
04/29/2020,504,504,504,504,0.25,+0.05%,0,770
04/28/2020,503.75,503.75,503.75,503.75,0,0.00%,0,770
04/27/2020,503.75,503.75,503.75,503.75,-2.25,-0.44%,0,770
04/24/2020,506,506,506,506,-2.5,-0.49%,0,770
04/23/2020,508.5,508.5,508.5,508.5,4,+0.79%,0,770
04/22/2020,504.5,504.5,504.5,504.5,0.5,+0.10%,0,770
04/21/2020,504,504,504,504,-14,-2.70%,0,770
04/20/2020,518,518,518,518,-1.5,-0.29%,0,770
04/17/2020,519.5,519.5,519.5,519.5,3.5,+0.68%,0,770
04/16/2020,516,516,516,516,-6.25,-1.20%,0,770
04/15/2020,522.25,522.25,522.25,522.25,0.25,+0.05%,0,770
04/14/2020,522,522,522,522,0.25,+0.05%,0,770
04/13/2020,521.75,521.75,521.75,521.75,-5.25,-1.00%,0,770
04/09/2020,527,527,527,527,-7.75,-1.45%,0,770
04/08/2020,534.75,534.75,534.75,534.75,7.75,+1.47%,0,770
04/07/2020,527,527,527,527,14.5,+2.83%,40,770
04/06/2020,512.5,512.5,512.5,512.5,-1.5,-0.29%,0,810
04/03/2020,514,514,514,514,-9.75,-1.86%,0,810
04/02/2020,523.75,523.75,523.75,523.75,-12,-2.24%,0,810
04/01/2020,535.75,535.75,535.75,535.75,-21.25,-3.82%,0,810
03/31/2020,557,557,557,557,-5.25,-0.93%,80,810
03/30/2020,562.25,562.25,562.25,562.25,12.5,+2.27%,0,730
03/27/2020,549.75,549.75,549.75,549.75,8,+1.48%,0,730
03/26/2020,541.75,541.75,541.75,541.75,-4,-0.73%,0,730
03/25/2020,545.75,545.75,545.75,545.75,17,+3.22%,55,730
03/24/2020,528.75,528.75,528.75,528.75,17.75,+3.47%,0,730
03/23/2020,511,511,511,511,-8,-1.54%,0,730
03/20/2020,519,519,519,519,22,+4.43%,0,730
03/19/2020,497,497,497,497,-13.5,-2.64%,0,730
03/18/2020,510.5,510.5,510.5,510.5,-6.25,-1.21%,230,730
03/17/2020,516.75,516.75,516.75,516.75,2,+0.39%,0,730
03/16/2020,514.75,514.75,514.75,514.75,-14.25,-2.69%,0,730
03/13/2020,529,529,529,529,-2,-0.38%,0,730
03/12/2020,531,531,531,531,-25,-4.50%,0,730
03/11/2020,556,556,556,556,5,+0.91%,0,730
03/10/2020,551,551,551,551,-0.25,-0.05%,0,730
03/09/2020,551.25,551.25,551.25,551.25,-33,-5.65%,0,730
03/06/2020,584.25,584.25,584.25,584.25,-21.25,-3.51%,192,730
03/05/2020,605.5,605.5,605.5,605.5,7.25,+1.21%,0,730
03/04/2020,598.25,598.25,598.25,598.25,29,+5.09%,0,730
03/03/2020,569.25,569.25,569.25,569.25,16.75,+3.03%,0,730
03/02/2020,552.5,552.5,552.5,552.5,2,+0.36%,0,730
02/28/2020,550.5,550.5,550.5,550.5,-30.5,-5.25%,0,730
02/27/2020,581,581,581,581,13.25,+2.33%,0,730
02/26/2020,567.75,567.75,567.75,567.75,-2.75,-0.48%,0,730
02/25/2020,570.5,570.5,570.5,570.5,-26.75,-4.48%,0,730
02/24/2020,597.25,597.25,597.25,597.25,-20.5,-3.32%,0,730
