Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/30/2019,524.25,524.25,524.25,524.25,-0.25,-0.05%,0,0
09/27/2019,524.5,524.5,524.5,524.5,-0.5,-0.10%,0,680
09/26/2019,525,525,525,525,0.75,+0.14%,0,680
09/25/2019,524.25,524.25,524.25,524.25,0,0.00%,0,680
09/24/2019,524.25,524.25,524.25,524.25,-3.5,-0.66%,0,680
09/23/2019,527.75,527.75,527.75,527.75,-2.25,-0.42%,0,680
09/20/2019,530,530,530,530,-1.25,-0.24%,0,680
09/19/2019,531.25,531.25,531.25,531.25,-2.25,-0.42%,0,680
09/18/2019,533.5,533.5,533.5,533.5,-3.25,-0.61%,0,680
09/17/2019,536.75,536.75,536.75,536.75,11.5,+2.19%,0,680
09/16/2019,525.25,525.25,525.25,525.25,0,0.00%,0,680
09/13/2019,525.25,525.25,525.25,525.25,1,+0.19%,0,680
09/12/2019,524.25,524.25,524.25,524.25,-2.25,-0.43%,0,680
09/11/2019,526.5,526.5,526.5,526.5,-3.25,-0.61%,0,680
09/10/2019,529.75,529.75,529.75,529.75,4.5,+0.86%,0,680
09/09/2019,525.25,525.25,525.25,525.25,0,0.00%,0,680
09/06/2019,525.25,525.25,525.25,525.25,5,+0.96%,0,680
09/05/2019,520.25,520.25,520.25,520.25,1.25,+0.24%,0,680
09/04/2019,519,519,519,519,2.75,+0.53%,0,680
09/03/2019,516.25,516.25,516.25,516.25,-12.75,-2.41%,0,680
08/30/2019,529,529,529,529,4.25,+0.81%,0,680
08/29/2019,524.75,524.75,524.75,524.75,-9.5,-1.78%,0,680
08/28/2019,534.25,534.25,534.25,534.25,2.75,+0.52%,0,680
08/27/2019,531.5,531.5,531.5,531.5,-8.5,-1.57%,0,680
08/26/2019,540,540,540,540,0,0.00%,0,680
08/23/2019,540,540,540,540,1.75,+0.33%,0,680
08/22/2019,538.25,538.25,538.25,538.25,9.75,+1.84%,0,680
08/21/2019,528.5,528.5,528.5,528.5,8.5,+1.63%,0,680
08/20/2019,520,520,520,520,4.25,+0.82%,0,680
08/19/2019,515.75,515.75,515.75,515.75,-9,-1.72%,0,680
08/16/2019,524.75,524.75,524.75,524.75,1.5,+0.29%,0,680
08/15/2019,523.25,523.25,523.25,523.25,-10.5,-1.97%,0,680
